ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
5849,0.0,128.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
4583,1508.0,128.0,360.0,1.0,N,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False
3000,0.0,66.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True
2583,2358.0,120.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True
6000,0.0,141.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
5417,4196.0,267.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True
2333,1516.0,95.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True
3036,2504.0,158.0,360.0,0.0,N,False,True,False,True,False,False,False,True,True,False,True,False,False,True,False
4006,1526.0,168.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
12841,10968.0,349.0,360.0,1.0,N,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
3200,700.0,70.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
2500,1840.0,109.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
3073,8106.0,200.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
1853,2840.0,114.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False
1299,1086.0,17.0,120.0,1.0,Y,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True
4950,0.0,125.0,360.0,1.0,Y,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
3596,0.0,100.0,240.0,1.0,Y,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True
3510,0.0,76.0,360.0,0.0,N,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
4887,0.0,133.0,360.0,1.0,N,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False
2600,3500.0,115.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True
7660,0.0,104.0,360.0,0.0,N,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True
5955,5625.0,315.0,360.0,1.0,Y,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
2600,1911.0,116.0,360.0,0.0,N,False,True,False,True,True,False,False,False,False,True,True,False,False,True,False
3365,1917.0,112.0,360.0,0.0,N,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False
3717,2925.0,151.0,360.0,1.0,N,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False
9560,0.0,191.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False
2799,2253.0,122.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
4226,1040.0,110.0,360.0,1.0,Y,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True
1442,0.0,35.0,360.0,1.0,N,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True
3750,2083.0,120.0,360.0,1.0,Y,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
4166,3369.0,201.0,360.0,1.0,N,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True
3167,0.0,74.0,360.0,1.0,N,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True
4692,0.0,106.0,360.0,1.0,N,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False
3500,1667.0,114.0,360.0,1.0,Y,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False
12500,3000.0,320.0,360.0,1.0,N,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False
